,date,symbol,close
837267,2016-11-21,AAPL,111.730003
837767,2016-11-22,AAPL,111.800003
838267,2016-11-23,AAPL,111.230003
838767,2016-11-25,AAPL,111.790001
839267,2016-11-28,AAPL,111.57
839767,2016-11-29,AAPL,111.459999
840267,2016-11-30,AAPL,110.519997
840767,2016-12-01,AAPL,109.489998
841267,2016-12-02,AAPL,109.900002
841767,2016-12-05,AAPL,109.110001
842267,2016-12-06,AAPL,109.949997
842767,2016-12-07,AAPL,111.029999
843267,2016-12-08,AAPL,112.120003
843767,2016-12-09,AAPL,113.949997
844267,2016-12-12,AAPL,113.300003
844767,2016-12-13,AAPL,115.190002
845267,2016-12-14,AAPL,115.190002
845767,2016-12-15,AAPL,115.82
846267,2016-12-16,AAPL,115.970001
846767,2016-12-19,AAPL,116.639999
847267,2016-12-20,AAPL,116.949997
847767,2016-12-21,AAPL,117.059998
848267,2016-12-22,AAPL,116.290001
848767,2016-12-23,AAPL,116.519997
849267,2016-12-27,AAPL,117.260002
849767,2016-12-28,AAPL,116.760002
850267,2016-12-29,AAPL,116.730003
850767,2016-12-30,AAPL,115.82
801299,2016-08-10,AMZN,768.559998
801799,2016-08-11,AMZN,771.23999
802299,2016-08-12,AMZN,772.559998
802799,2016-08-15,AMZN,768.48999
803299,2016-08-16,AMZN,764.039978
803799,2016-08-17,AMZN,764.630005
804299,2016-08-18,AMZN,764.460022
804799,2016-08-19,AMZN,757.309998
805299,2016-08-22,AMZN,759.47998
805799,2016-08-23,AMZN,762.450012
806299,2016-08-24,AMZN,757.25
806799,2016-08-25,AMZN,759.219971
807299,2016-08-26,AMZN,769.0
807799,2016-08-29,AMZN,771.289978
808299,2016-08-30,AMZN,767.580017
808799,2016-08-31,AMZN,769.159973
809299,2016-09-01,AMZN,770.619995
809799,2016-09-02,AMZN,772.440002
810299,2016-09-06,AMZN,788.869995
810799,2016-09-07,AMZN,784.47998
811299,2016-09-08,AMZN,784.059998
811799,2016-09-09,AMZN,760.140015
812299,2016-09-12,AMZN,771.48999
812799,2016-09-13,AMZN,761.01001
813299,2016-09-14,AMZN,761.090027
813799,2016-09-15,AMZN,769.690002
814299,2016-09-16,AMZN,778.52002
814799,2016-09-19,AMZN,775.099976
815299,2016-09-20,AMZN,780.219971
815799,2016-09-21,AMZN,789.73999
816299,2016-09-22,AMZN,804.700012
816799,2016-09-23,AMZN,805.75
817299,2016-09-26,AMZN,799.159973
817799,2016-09-27,AMZN,816.109985
818299,2016-09-28,AMZN,828.719971
818799,2016-09-29,AMZN,829.049988
819299,2016-09-30,AMZN,837.309998
819799,2016-10-03,AMZN,836.73999
820299,2016-10-04,AMZN,834.030029
820799,2016-10-05,AMZN,844.359985
821299,2016-10-06,AMZN,841.659973
821799,2016-10-07,AMZN,839.429993
822299,2016-10-10,AMZN,841.710022
822799,2016-10-11,AMZN,831.0
823299,2016-10-12,AMZN,834.090027
823799,2016-10-13,AMZN,829.280029
824299,2016-10-14,AMZN,822.960022
824799,2016-10-17,AMZN,812.950012
825299,2016-10-18,AMZN,817.650024
825799,2016-10-19,AMZN,817.690002
826299,2016-10-20,AMZN,810.320007
826799,2016-10-21,AMZN,818.98999
827299,2016-10-24,AMZN,838.090027
827799,2016-10-25,AMZN,835.179993
828299,2016-10-26,AMZN,822.590027
828799,2016-10-27,AMZN,818.359985
829299,2016-10-28,AMZN,776.320007
829799,2016-10-31,AMZN,789.820007
830299,2016-11-01,AMZN,785.409973
830799,2016-11-02,AMZN,765.559998
831299,2016-11-03,AMZN,767.030029
831799,2016-11-04,AMZN,755.049988
832299,2016-11-07,AMZN,784.929993
832799,2016-11-08,AMZN,787.75
833299,2016-11-09,AMZN,771.880005
